date,country_code,A,B
2015-01-01,AE,-1,-1
2015-02-01,AE,-1,-1
2015-03-01,AE,-3,-2
2015-04-01,AE,-5,0
2015-05-01,AE,-3,0
2015-06-01,AE,-4,0
2015-07-01,AE,-4,1
2015-08-01,AE,-3,3
2015-09-01,AE,-1,5
2015-10-01,AE,1,6
2015-11-01,AE,2,5
2015-12-01,AE,1,5
2016-01-01,AE,2,7
2016-02-01,AE,1,8
2016-03-01,AE,3,9
2016-04-01,AE,1,11
2016-05-01,AE,1,10
2016-06-01,AE,3,8
2016-07-01,AE,1,6
2016-08-01,AE,-1,5
2016-09-01,AE,0,3
2016-10-01,AE,-1,3
2016-11-01,AE,-2,2
2016-12-01,AE,-4,0
2017-01-01,AE,-3,-2
2017-02-01,AE,-5,0
2017-03-01,AE,-5,1
2017-04-01,AE,-6,-1
2017-05-01,AE,-6,-3
2017-06-01,AE,-5,-5
2017-07-01,AE,-7,-7
2017-08-01,AE,-7,-7
2017-09-01,AE,-7,-9
2017-10-01,AE,-6,-11
2017-11-01,AE,-6,-12
2017-12-01,AE,-6,-13
2018-01-01,AE,-7,-11
2018-02-01,AE,-8,-10
2018-03-01,AE,-9,-8
2018-04-01,AE,-8,-9
2018-05-01,AE,-6,-9
2018-06-01,AE,-6,-11
2018-07-01,AE,-8,-13
2018-08-01,AE,-10,-12
2018-09-01,AE,-11,-14
2018-10-01,AE,-12,-12
2018-11-01,AE,-14,-12
2018-12-01,AE,-16,-14
2019-01-01,AE,-16,-12
2019-02-01,AE,-17,-12
2019-03-01,AE,-16,-12
2019-04-01,AE,-18,-14
2019-05-01,AE,-20,-15
2019-06-01,AE,-18,-13
2019-07-01,AE,-20,-14
2019-08-01,AE,-21,-15
2019-09-01,AE,-19,-16
2019-10-01,AE,-18,-16
2019-11-01,AE,-18,-17
2019-12-01,AE,-20,-18
2020-01-01,AE,-18,-16
2020-02-01,AE,-16,-15
2020-03-01,AE,-15,-17
2020-04-01,AE,-15,-15
2020-05-01,AE,-14,-16
2020-06-01,AE,-12,-18
2020-07-01,AE,-11,-20
2020-08-01,AE,-9,-22
2020-09-01,AE,-7,-22
2020-10-01,AE,-6,-22
2020-11-01,AE,-7,-24
2020-12-01,AE,-9,-22
2021-01-01,AE,-7,-24
2021-02-01,AE,-7,-24
2021-03-01,AE,-7,-25
2021-04-01,AE,-6,-27
2021-05-01,AE,-8,-29
2021-06-01,AE,-10,-29
2021-07-01,AE,-8,-27
2021-08-01,AE,-10,-29
2021-09-01,AE,-11,-31
2021-10-01,AE,-12,-32
2021-11-01,AE,-10,-33
2021-12-01,AE,-9,-34
2022-01-01,AE,-10,-35
2022-02-01,AE,-10,-34
2022-03-01,AE,-10,-33
2022-04-01,AE,-8,-32
2022-05-01,AE,-7,-34
2022-06-01,AE,-8,-34
2022-07-01,AE,-8,-35
2022-08-01,AE,-6,-33
2022-09-01,AE,-7,-35
2022-10-01,AE,-6,-33
2022-11-01,AE,-4,-35
2022-12-01,AE,-5,-36
2023-01-01,AE,-7,-35
2023-02-01,AE,-7,-34
2023-03-01,AE,-5,-35
2023-04-01,AE,-4,-37
2023-05-01,AE,-5,-37
2023-06-01,AE,-6,-35
2023-07-01,AE,-8,-34
2023-08-01,AE,-9,-33
2023-09-01,AE,-10,-33
2023-10-01,AE,-11,-32
2023-11-01,AE,-13,-32
2023-12-01,AE,-14,-31
2024-01-01,AE,-13,-29
2024-02-01,AE,-11,-28
2024-03-01,AE,-10,-27
2015-01-01,AG,-2,-2
2015-02-01,AG,-1,-2
2015-03-01,AG,-2,-3
2015-04-01,AG,0,-2
2015-05-01,AG,2,-1
2015-06-01,AG,0,-3
2015-07-01,AG,0,-4
2015-08-01,AG,-1,-4
2015-09-01,AG,1,-5
2015-10-01,AG,3,-5
2015-11-01,AG,2,-4
2015-12-01,AG,2,-5
2016-01-01,AG,2,-6
2016-02-01,AG,1,-6
2016-03-01,AG,1,-4
2016-04-01,AG,3,-6
2016-05-01,AG,4,-6
2016-06-01,AG,2,-7
2016-07-01,AG,0,-8
2016-08-01,AG,-1,-10
2016-09-01,AG,0,-12
2016-10-01,AG,-1,-11
2016-11-01,AG,-3,-11
2016-12-01,AG,-5,-9
2017-01-01,AG,-4,-11
2017-02-01,AG,-4,-10
2017-03-01,AG,-6,-8
2017-04-01,AG,-4,-10
2017-05-01,AG,-4,-11
2017-06-01,AG,-5,-12
2017-07-01,AG,-6,-11
2017-08-01,AG,-6,-13
2017-09-01,AG,-4,-11
2017-10-01,AG,-3,-9
2017-11-01,AG,-4,-10
2017-12-01,AG,-2,-9
2018-01-01,AG,-4,-9
2018-02-01,AG,-6,-9
2018-03-01,AG,-8,-9
2018-04-01,AG,-9,-7
2018-05-01,AG,-11,-5
2018-06-01,AG,-11,-7
2018-07-01,AG,-12,-7
2018-08-01,AG,-13,-8
2018-09-01,AG,-15,-10
2018-10-01,AG,-13,-12
2018-11-01,AG,-14,-14
2018-12-01,AG,-12,-14
2019-01-01,AG,-14,-15
2019-02-01,AG,-14,-17
2019-03-01,AG,-12,-18
2019-04-01,AG,-14,-20
2019-05-01,AG,-15,-18
2019-06-01,AG,-13,-20
2019-07-01,AG,-14,-20
2019-08-01,AG,-13,-22
2019-09-01,AG,-11,-24
2019-10-01,AG,-13,-26
2019-11-01,AG,-14,-24
